Team,Striker,Non-striker,Run,Extras,Extra Type,Bowler,Over,Balls ,Out,Out_Type
SRH,Abhishek Sharma,Travis Head,0,0,,Mitchell Starc,1,1,0,
SRH,Abhishek Sharma,Travis Head,0,0,,Mitchell Starc,1,2,0,
SRH,Abhishek Sharma,Travis Head,0,0,,Mitchell Starc,1,3,0,
SRH,Abhishek Sharma,Travis Head,2,0,,Mitchell Starc,1,4,0,
SRH,Abhishek Sharma,Travis Head,0,0,,Mitchell Starc,1,5,1,Bowled
SRH,Rahul Tripathy,Travis Head,1,0,,Mitchell Starc,1,6,0,
SRH,Rahul Tripathy,Travis Head,0,0,,Vaibhav Arora,2,1,0,
SRH,Rahul Tripathy,Travis Head,0,0,,Vaibhav Arora,2,2,0,
SRH,Rahul Tripathy,Travis Head,0,0,,Vaibhav Arora,2,3,0,
SRH,Rahul Tripathy,Travis Head,0,2,LB,Vaibhav Arora,2,4,0,
SRH,Rahul Tripathy,Travis Head,1,0,,Vaibhav Arora,2,5,0,
SRH,Travis Head,Rahul Tripathy,0,0,,Vaibhav Arora,2,6,2,Catch
SRH,Rahul Tripathy,Aiden Markram,4,0,,Mitchell Starc,3,1,0,
SRH,Rahul Tripathy,Aiden Markram,1,0,,Mitchell Starc,3,2,0,
SRH,Aiden Markram,Rahul Tripathy,0,0,,Mitchell Starc,3,3,0,
SRH,Aiden Markram,Rahul Tripathy,4,0,,Mitchell Starc,3,4,0,
SRH,Aiden Markram,Rahul Tripathy,0,0,,Mitchell Starc,3,5,0,
SRH,Aiden Markram,Rahul Tripathy,0,0,,Mitchell Starc,3,6,0,
SRH,Rahul Tripathy,Aiden Markram,0,1,Wide,Vaibhav Arora,4,1,0,
SRH,Rahul Tripathy,Aiden Markram,0,1,Wide,Vaibhav Arora,4,2,0,
SRH,Rahul Tripathy,Aiden Markram,1,0,,Vaibhav Arora,4,3,0,
SRH,Aiden Markram,Rahul Tripathy,0,0,,Vaibhav Arora,4,4,0,
SRH,Aiden Markram,Rahul Tripathy,1,0,,Vaibhav Arora,4,5,0,
SRH,Rahul Tripathy,Aiden Markram,0,0,,Vaibhav Arora,4,6,0,
SRH,Rahul Tripathy,Aiden Markram,0,1,Wide,Vaibhav Arora,4,7,0,
SRH,Rahul Tripathy,Aiden Markram,1,0,,Vaibhav Arora,4,8,0,
SRH,Aiden Markram,Rahul Tripathy,0,0,,Vaibhav Arora,4,9,0,
SRH,Rahul Tripathy,Aiden Markram,0,0,,Mitchell Starc,5,1,0,
SRH,Rahul Tripathy,Aiden Markram,0,0,,Mitchell Starc,5,2,3,Catch
SRH,Nitish Kumar Reddy,Aiden Markram,1,0,,Mitchell Starc,5,3,0,
SRH,Aiden Markram,Nitish Kumar Reddy,1,0,,Mitchell Starc,5,4,0,
SRH,Nitish Kumar Reddy,Aiden Markram,0,0,,Mitchell Starc,5,5,0,
SRH,Nitish Kumar Reddy,Aiden Markram,0,0,,Mitchell Starc,5,6,0,
SRH,Aiden Markram,Nitish Kumar Reddy,0,1,Wide,Vaibhav Arora,6,1,0,
SRH,Aiden Markram,Nitish Kumar Reddy,4,0,,Vaibhav Arora,6,2,0,
SRH,Aiden Markram,Nitish Kumar Reddy,4,0,,Vaibhav Arora,6,3,0,
SRH,Aiden Markram,Nitish Kumar Reddy,1,0,,Vaibhav Arora,6,4,0,
SRH,Nitish Kumar Reddy,Aiden Markram,0,0,,Vaibhav Arora,6,5,0,
SRH,Nitish Kumar Reddy,Aiden Markram,6,0,,Vaibhav Arora,6,6,0,
SRH,Nitish Kumar Reddy,Aiden Markram,1,0,,Vaibhav Arora,6,7,0,
SRH,Nitish Kumar Reddy,Aiden Markram,4,0,,Harshit Rana,7,1,0,
SRH,Nitish Kumar Reddy,Aiden Markram,1,0,,Harshit Rana,7,2,0,
SRH,Aiden Markram,Nitish Kumar Reddy,0,1,Wide,Harshit Rana,7,3,0,
SRH,Aiden Markram,Nitish Kumar Reddy,0,0,,Harshit Rana,7,4,0,
SRH,Aiden Markram,Nitish Kumar Reddy,1,0,,Harshit Rana,7,5,0,
SRH,Nitish Kumar Reddy,Aiden Markram,0,0,,Harshit Rana,7,6,0,
SRH,Nitish Kumar Reddy,Aiden Markram,0,0,,Harshit Rana,7,7,4,Catch
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Sunil Narine,8,1,0,
SRH,Aiden Markram,Heinrich Klaasen,1,0,,Sunil Narine,8,2,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Sunil Narine,8,3,0,
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Sunil Narine,8,4,0,
SRH,Aiden Markram,Heinrich Klaasen,1,0,,Sunil Narine,8,5,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Sunil Narine,8,6,0,
SRH,Heinrich Klaasen,Aiden Markram,4,0,,Harshit Rana,9,1,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Harshit Rana,9,2,0,
SRH,Aiden Markram,Heinrich Klaasen,1,0,,Harshit Rana,9,3,0,
SRH,Heinrich Klaasen,Aiden Markram,0,0,,Harshit Rana,9,4,0,
SRH,Heinrich Klaasen,Aiden Markram,0,0,,Harshit Rana,9,5,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Harshit Rana,9,6,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Sunil Narine,10,1,0,
SRH,Aiden Markram,Heinrich Klaasen,1,0,,Sunil Narine,10,2,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Sunil Narine,10,3,0,
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Sunil Narine,10,4,0,
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Sunil Narine,10,5,0,
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Sunil Narine,10,6,0,
SRH,Heinrich Klaasen,Aiden Markram,1,0,,Andre Russell,11,1,0,
SRH,Aiden Markram,Heinrich Klaasen,0,0,,Andre Russell,11,2,5,Catch
SRH,Shahbaz Ahmed,Heinrich Klaasen,2,0,,Andre Russell,11,3,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,0,0,,Andre Russell,11,4,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,0,0,,Andre Russell,11,5,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,6,0,,Andre Russell,11,6,0,
SRH,Heinrich Klaasen,Shahbaz Ahmed,0,0,,Varun Chakaravarthy,12,1,0,
SRH,Heinrich Klaasen,Shahbaz Ahmed,1,0,,Varun Chakaravarthy,12,2,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,0,0,,Varun Chakaravarthy,12,3,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,0,0,,Varun Chakaravarthy,12,4,0,
SRH,Shahbaz Ahmed,Heinrich Klaasen,0,0,,Varun Chakaravarthy,12,5,6,Catch
SRH,Abdul Samad,Heinrich Klaasen,1,0,,Varun Chakaravarthy,12,6,0,
SRH,Abdul Samad,Heinrich Klaasen,2,0,,Andre Russell,13,1,0,
SRH,Abdul Samad,Heinrich Klaasen,1,0,,Andre Russell,13,2,0,
SRH,Heinrich Klaasen,Abdul Samad,1,0,,Andre Russell,13,3,0,
SRH,Abdul Samad,Heinrich Klaasen,0,1,Wide,Andre Russell,13,4,0,
SRH,Abdul Samad,Heinrich Klaasen,0,0,,Andre Russell,13,5,7,Catch
SRH,Pat Cummins,Heinrich Klaasen,4,0,,Andre Russell,13,6,0,
SRH,Pat Cummins,Heinrich Klaasen,1,0,,Andre Russell,13,7,0,
SRH,Pat Cummins,Heinrich Klaasen,4,0,,Varun Chakaravarthy,14,1,0,
SRH,Pat Cummins,Heinrich Klaasen,0,1,LB,Varun Chakaravarthy,14,2,0,
SRH,Heinrich Klaasen,Pat Cummins,0,0,,Varun Chakaravarthy,14,3,0,
SRH,Heinrich Klaasen,Pat Cummins,2,0,,Varun Chakaravarthy,14,4,0,
SRH,Heinrich Klaasen,Pat Cummins,1,0,,Varun Chakaravarthy,14,5,0,
SRH,Pat Cummins,Heinrich Klaasen,0,0,,Varun Chakaravarthy,14,6,0,
SRH,Heinrich Klaasen,Pat Cummins,0,0,,Harshit Rana,15,1,8,Bowled
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Harshit Rana,15,2,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Harshit Rana,15,3,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Harshit Rana,15,4,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Harshit Rana,15,5,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Harshit Rana,15,6,0,
SRH,Pat Cummins,Jaydev Unadkat,0,4,B,Sunil Narine,16,1,0,
SRH,Pat Cummins,Jaydev Unadkat,1,0,,Sunil Narine,16,2,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Sunil Narine,16,3,0,
SRH,Jaydev Unadkat,Pat Cummins,1,0,,Sunil Narine,16,4,0,
SRH,Pat Cummins,Jaydev Unadkat,1,0,,Sunil Narine,16,5,0,
SRH,Jaydev Unadkat,Pat Cummins,1,0,,Sunil Narine,16,6,0,
SRH,Jaydev Unadkat,Pat Cummins,1,0,,Harshit Rana,17,1,0,
SRH,Pat Cummins,Jaydev Unadkat,0,0,,Harshit Rana,17,2,0,
SRH,Pat Cummins,Jaydev Unadkat,0,0,,Harshit Rana,17,3,0,
SRH,Pat Cummins,Jaydev Unadkat,2,0,,Harshit Rana,17,4,0,
SRH,Pat Cummins,Jaydev Unadkat,6,0,,Harshit Rana,17,5,0,
SRH,Pat Cummins,Jaydev Unadkat,1,0,,Harshit Rana,17,6,0,
SRH,Pat Cummins,Jaydev Unadkat,1,0,,Sunil Narine,18,1,0,
SRH,Jaydev Unadkat,Pat Cummins,1,0,,Sunil Narine,18,2,0,
SRH,Pat Cummins,Jaydev Unadkat,2,0,,Sunil Narine,18,3,0,
SRH,Pat Cummins,Jaydev Unadkat,1,0,,Sunil Narine,18,4,0,
SRH,Jaydev Unadkat,Pat Cummins,0,0,,Sunil Narine,18,5,9,LBW
SRH,Bhuvneshwar Kumar,Pat Cummins,0,0,,Sunil Narine,18,6,0,
SRH,Pat Cummins,Bhuvneshwar Kumar,0,0,,Andre Russell,19,1,0,
SRH,Pat Cummins,Bhuvneshwar Kumar,0,0,,Andre Russell,19,2,0,
SRH,Pat Cummins,Bhuvneshwar Kumar,0,0,,Andre Russell,19,3,10,Catch
KKR,Rahmanullah Gurbaz,Sunil Narine,0,0,,Bhuvneshwar Kumar,1,1,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,4,0,,Bhuvneshwar Kumar,1,2,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,0,0,,Bhuvneshwar Kumar,1,3,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,0,1,Wide,Bhuvneshwar Kumar,1,4,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,0,0,,Bhuvneshwar Kumar,1,5,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,0,0,,Bhuvneshwar Kumar,1,6,0,
KKR,Rahmanullah Gurbaz,Sunil Narine,0,0,,Bhuvneshwar Kumar,1,7,0,
KKR,Sunil Narine,Rahmanullah Gurbaz,6,0,,Pat Cummins,2,1,0,
KKR,Sunil Narine,Rahmanullah Gurbaz,0,0,,Pat Cummins,2,2,1,Catch
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,0,2,Wide,Pat Cummins,2,3,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,2,4,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,2,5,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,4,0,,Pat Cummins,2,6,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,2,7,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,4,0,,Bhuvneshwar Kumar,3,1,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,6,0,,Bhuvneshwar Kumar,3,2,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,6,0,,Bhuvneshwar Kumar,3,3,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,Bhuvneshwar Kumar,3,4,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,Bhuvneshwar Kumar,3,5,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,2,0,,Bhuvneshwar Kumar,3,6,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,1,Wide,T Natarajan,4,1,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,4,0,,T Natarajan,4,2,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,T Natarajan,4,3,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,1,Wide,T Natarajan,4,4,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,T Natarajan,4,5,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,T Natarajan,4,6,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,T Natarajan,4,7,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,T Natarajan,4,8,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,4,0,,Pat Cummins,5,1,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,Pat Cummins,5,2,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,Pat Cummins,5,3,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,5,4,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,5,5,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Pat Cummins,5,6,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,4,0,,T Natarajan,6,1,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,4,0,,T Natarajan,6,2,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,6,0,,T Natarajan,6,3,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,4,0,,T Natarajan,6,4,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,T Natarajan,6,5,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,T Natarajan,6,6,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Shahbaz Ahmed,7,1,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,4,B,Shahbaz Ahmed,7,2,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,6,0,,Shahbaz Ahmed,7,3,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,Shahbaz Ahmed,7,4,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,0,1,LB,Shahbaz Ahmed,7,5,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,0,0,,Shahbaz Ahmed,7,6,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,Jaydev Unadkat,8,1,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,1,0,,Jaydev Unadkat,8,2,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,0,0,,Jaydev Unadkat,8,3,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,2,0,,Jaydev Unadkat,8,4,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,1,0,,Jaydev Unadkat,8,5,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,4,0,,Jaydev Unadkat,8,6,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,2,0,,Shahbaz Ahmed,9,1,0,
KKR,Venkatesh Iyer,Rahmanullah Gurbaz,0,1,LB,Shahbaz Ahmed,9,2,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Shahbaz Ahmed,9,3,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,6,0,,Shahbaz Ahmed,9,4,0,
KKR,Rahmanullah Gurbaz,Venkatesh Iyer,0,0,,Shahbaz Ahmed,9,5,2,LBW
KKR,Shreyas Iyer,Venkatesh Iyer,4,0,,Shahbaz Ahmed,9,6,0,
KKR,Venkatesh Iyer,Shreyas Iyer,2,0,,Aiden Markram,10,1,0,
KKR,Venkatesh Iyer,Shreyas Iyer,0,0,,Aiden Markram,10,2,0,
KKR,Venkatesh Iyer,Shreyas Iyer,0,0,,Aiden Markram,10,3,0,
KKR,Venkatesh Iyer,Shreyas Iyer,1,0,,Aiden Markram,10,4,0,
KKR,Shreyas Iyer,Venkatesh Iyer,1,0,,Aiden Markram,10,5,0,
KKR,Venkatesh Iyer,Shreyas Iyer,1,0,,Aiden Markram,10,6,0,
KKR,Venkatesh Iyer,Shreyas Iyer,1,0,,Shahbaz Ahmed,11,1,0,
KKR,Shreyas Iyer,Venkatesh Iyer,1,0,,Shahbaz Ahmed,11,2,0,
KKR,Venkatesh Iyer,Shreyas Iyer,1,0,,Shahbaz Ahmed,11,3,0,
